submit_time,start_time,end_time,run_time,wait_time
62647,62649,62687,38,2
62686,62687,62693,6,1
62720,62722,62733,11,2
62733,62735,62755,20,2
63078,63079,63108,29,1
63140,63142,63153,11,2
63153,63154,63155,1,1
65603,65605,65640,35,2
65639,65641,65647,6,2
65675,65676,65684,8,1
120090,120091,120290,199,1
121111,121111,121476,365,0
125117,125118,125359,241,1
125486,125486,125749,263,0
125880,125880,126110,230,0
128591,128591,128812,221,0
129409,129409,130069,660,0
131604,131605,131833,228,1
133529,133529,134218,689,0
135908,135908,136143,235,0
137426,137427,138081,654,1
152259,152259,152572,313,0
154034,154034,154735,701,0
211576,211576,211578,2,0
211596,211596,211598,2,0
211634,211634,211635,1,0
211855,211855,212018,163,0
212124,212124,212458,334,0
212695,212695,214059,1364,0
214197,214197,214497,300,0
214551,214551,214851,300,0
215473,215473,215808,335,0
215842,215843,216137,294,1
216247,216248,216575,327,1
216591,216592,216909,317,1
217008,217008,217334,326,0
217376,217377,217568,191,1
217604,217604,217625,21,0
218751,218751,219673,922,0
219555,219676,219761,85,121
219103,219103,219779,676,0
220053,220053,220222,169,0
220273,220274,220994,720,1
220417,220417,221027,610,0
221608,221609,223128,1519,1
222487,222487,223131,644,0
222212,222213,223131,918,1
222271,222271,223133,862,0
223232,223232,223289,57,0
223260,223260,223294,34,0
223980,223980,224653,673,0
223333,223333,228359,5026,0
223355,223355,228629,5274,0
223347,223347,228645,5298,0
228595,228595,229266,671,0
232920,232920,233600,680,0
234947,234947,234988,41,0
235249,235249,235289,40,0
235561,235562,235602,40,1
235879,235879,235919,40,0
252107,252107,252151,44,0
252323,252324,252367,43,1
252537,252537,252581,44,0
252757,252758,252801,43,1
253023,253023,253067,44,0
253237,253237,253280,43,0
253447,253447,253491,44,0
253665,253666,253709,43,1
254154,254154,254198,44,0
254367,254367,254411,44,0
254578,254578,254621,43,0
254789,254789,254832,43,0
255326,255326,255360,34,0
255432,255432,255445,13,0
255488,255488,255501,13,0
255548,255548,255561,13,0
255604,255604,255617,13,0
