submit_time,start_time,end_time,run_time,wait_time
33154,33156,34027,871,2
34030,34032,34325,293,2
34328,34330,34871,541,2
34874,34876,34994,118,2
35031,35033,42531,7498,2
42539,42541,43765,1224,2
43764,43767,43926,159,3
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45110,45113,3,1
45109,45109,45114,5,0
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45110,45113,3,1
45109,45109,45113,4,0
45109,45110,45113,3,1
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45109,45114,5,0
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45110,45113,3,1
45109,45109,45113,4,0
45109,45109,45113,4,0
45109,45110,45113,3,1
45109,45110,45113,3,1
45109,45109,45114,5,0
45109,45109,45114,5,0
45109,45109,45114,5,0
45109,45109,45114,5,0
45109,45110,45115,5,1
45109,45109,45115,6,0
45109,45109,45114,5,0
45109,45109,45114,5,0
45109,45109,45114,5,0
45109,45110,45114,4,1
45109,45109,45114,5,0
45109,45109,45114,5,0
45109,45110,45114,4,1
45109,45109,45114,5,0
45109,45109,45114,5,0
45109,45109,45115,6,0
45109,45110,45114,4,1
45109,45109,45114,5,0
45109,45109,45114,5,0
45109,45109,45115,6,0
45109,45109,45115,6,0
45109,45109,45115,6,0
45109,45109,45115,6,0
45109,45110,45114,4,1
45109,45109,45115,6,0
45109,45109,45115,6,0
45109,45109,45116,7,0
45109,45109,45115,6,0
45109,45109,45115,6,0
45109,45110,45115,5,1
45109,45109,45115,6,0
45109,45109,45115,6,0
45109,45110,45116,6,1
45109,45109,45115,6,0
45109,45109,45115,6,0
45109,45109,45115,6,0
45109,45110,45115,5,1
45109,45109,45115,6,0
45109,45109,45115,6,0
45109,45110,45115,5,1
45109,45109,45115,6,0
45109,45110,45115,5,1
45109,45109,45115,6,0
45109,45110,45116,6,1
45109,45110,45116,6,1
45109,45110,45117,7,1
45109,45110,45116,6,1
45109,45110,45116,6,1
45109,45109,45116,7,0
45109,45110,45116,6,1
45109,45116,45117,1,7
45109,45110,45116,6,1
45109,45116,45117,1,7
45109,45116,45117,1,7
45109,45116,45117,1,7
45109,45114,45118,4,5
45109,45114,45118,4,5
45109,45113,45118,5,4
45109,45114,45118,4,5
45109,45114,45118,4,5
45109,45116,45117,1,7
45109,45116,45117,1,7
45109,45114,45118,4,5
45109,45114,45118,4,5
45109,45114,45118,4,5
45109,45114,45118,4,5
45109,45114,45117,3,5
45109,45114,45118,4,5
45109,45116,45118,2,7
45109,45114,45118,4,5
45109,45114,45118,4,5
45109,45114,45117,3,5
45109,45115,45118,3,6
45109,45115,45118,3,6
45109,45114,45119,5,5
45109,45115,45119,4,6
45109,45115,45119,4,6
45109,45115,45119,4,6
45109,45114,45119,5,5
45109,45114,45118,4,5
45109,45114,45118,4,5
45109,45115,45119,4,6
45109,45116,45119,3,7
45109,45116,45118,2,7
45109,45114,45119,5,5
45109,45114,45118,4,5
45109,45116,45119,3,7
45109,45114,45119,5,5
45109,45115,45119,4,6
45109,45115,45119,4,6
45109,45117,45118,1,8
45109,45114,45118,4,5
45109,45115,45118,3,6
45109,45116,45119,3,7
45109,45115,45118,3,6
45109,45115,45119,4,6
45109,45115,45119,4,6
45109,45115,45119,4,6
45109,45114,45119,5,5
45109,45115,45118,3,6
45109,45114,45119,5,5
45109,45115,45119,4,6
45109,45115,45119,4,6
45109,45115,45119,4,6
45109,45114,45119,5,5
45109,45114,45119,5,5
45109,45114,45119,5,5
45109,45116,45119,3,7
45109,45114,45120,6,5
45109,45115,45120,5,6
45109,45117,45120,3,8
45109,45115,45120,5,6
45109,45114,45120,6,5
45109,45115,45119,4,6
45109,45116,45120,4,7
45109,45117,45120,3,8
45109,45115,45120,5,6
45109,45115,45120,5,6
45109,45115,45120,5,6
45109,45118,45120,2,9
45109,45115,45120,5,6
45109,45116,45119,3,7
45109,45115,45120,5,6
45109,45118,45121,3,9
45109,45118,45121,3,9
45109,45116,45121,5,7
45109,45117,45121,4,8
45109,45117,45120,3,8
45109,45117,45120,3,8
45109,45116,45121,5,7
45109,45117,45121,4,8
45109,45118,45121,3,9
45109,45116,45121,5,7
45109,45118,45121,3,9
45109,45116,45121,5,7
45109,45117,45121,4,8
45109,45119,45122,3,10
45109,45118,45122,4,9
45109,45118,45122,4,9
45109,45118,45122,4,9
45109,45118,45121,3,9
45109,45119,45122,3,10
45109,45117,45122,5,8
45109,45118,45122,4,9
45109,45118,45122,4,9
45109,45118,45122,4,9
45109,45118,45122,4,9
45109,45118,45122,4,9
45109,45119,45122,3,10
45109,45116,45121,5,7
45109,45119,45122,3,10
45109,45118,45122,4,9
45109,45118,45123,5,9
45109,45119,45123,4,10
45109,45118,45123,5,9
45109,45118,45123,5,9
45109,45118,45122,4,9
45109,45119,45123,4,10
45109,45119,45123,4,10
45109,45119,45123,4,10
45109,45119,45124,5,10
45109,45119,45124,5,10
