submit_time,start_time,end_time,run_time,wait_time
35187,35187,38552,3365,0
35207,35207,38576,3369,0
35192,35192,38586,3394,0
35202,35202,72029,36827,0
71981,71981,72433,452,0
72467,72468,74638,2170,1
76130,76131,76238,107,1
76984,76984,77158,174,0
78729,78729,78829,100,0
84496,84496,84532,36,0
121592,121592,121600,8,0
124150,124150,124614,464,0
124886,124886,125053,167,0
124848,124848,125088,240,0
127938,127939,127943,4,1
128196,128197,128200,3,1
128389,128390,128393,3,1
129509,129510,129617,107,1
130170,130170,130359,189,0
131481,131481,131585,104,0
131896,131897,132082,185,1
132107,132108,132294,186,1
132214,132215,132340,125,1
135082,135082,135286,204,0
135143,135144,135289,145,1
136013,136013,136189,176,0
136533,136534,136635,101,1
137235,137236,137421,185,1
137983,137983,138078,95,0
139920,139920,140020,100,0
143590,143590,143694,104,0
144704,144704,144792,88,0
144910,144911,145087,176,1
145144,145144,145314,170,0
146132,146132,146304,172,0
146502,146503,146627,124,1
148690,148690,148807,117,0
149009,149009,149184,175,0
149973,149973,150168,195,0
167011,167012,167126,114,1
167125,167127,167134,7,2
167207,167209,168192,983,2
168606,168607,168667,60,1
168666,168669,168676,7,3
168853,168855,168875,20,2
168960,168962,169010,48,2
169009,169011,169019,8,2
169100,169102,170142,1040,2
170140,170143,170160,17,3
212239,212240,212347,107,1
213211,213212,213415,203,1
214985,214985,215019,34,0
215250,215250,215361,111,0
215842,215842,216142,300,0
216151,216152,216307,155,1
216127,216127,216444,317,0
216441,216442,216724,282,1
222189,222190,222315,125,1
222313,222317,222320,3,4
222519,222519,222619,100,0
222928,222928,223098,170,0
222408,222409,223430,1021,1
223428,223431,223432,1,3
226627,226627,226701,74,0
226619,226619,226792,173,0
226809,226810,226932,122,1
228340,228340,228453,113,0
228823,228823,229096,273,0
72173,72173,230191,158018,0
303937,303938,303939,1,1
304071,304073,304124,51,2
304123,304126,304129,3,3
304215,304217,305865,1648,2
305863,305866,305878,12,3
306480,306482,306532,50,2
306530,306533,306541,8,3
306625,306627,308427,1800,2
308426,308428,308431,3,2
313808,313808,313809,1,0
313854,313854,313858,4,0
314400,314401,315277,876,1
316370,316370,316371,1,0
317004,317005,317036,31,1
318287,318287,318321,34,0
316794,316794,318525,1731,0
318501,318501,320187,1686,0
320971,320972,321438,466,1
323176,323177,323189,12,1
324128,324128,324150,22,0
324045,324046,324188,142,1
324186,324187,324190,3,1
324540,324540,324554,14,0
326054,326054,326055,1,0
325942,325942,326055,113,0
326224,326225,326473,248,1
326472,326473,326477,4,1
327655,327656,327670,14,1
327728,327728,327732,4,0
327915,327915,327929,14,0
328140,328140,328154,14,0
329122,329123,335125,6002,1
380265,380265,380548,283,0
381048,381049,381274,225,1
382624,382624,384355,1731,0
390058,390059,390810,751,1
392430,392430,392934,504,0
393794,393794,394298,504,0
400286,400287,400288,1,1
400123,400123,400287,164,0
405476,405477,405508,31,1
405542,405543,405572,29,1
481605,481605,481617,12,0
481692,481692,481837,145,0
481836,481837,481839,2,1
481873,481873,481902,29,0
483151,483152,483283,131,1
483608,483609,483610,1,1
483617,483617,483618,1,0
483625,483625,483626,1,0
483633,483634,483635,1,1
483576,483577,483713,136,1
483712,483712,483713,1,0
483737,483737,483738,1,0
483748,483748,483749,1,0
483756,483756,483757,1,0
483746,483746,483758,12,0
483909,483909,483910,1,0
483917,483918,483919,1,1
483925,483926,483927,1,1
483934,483934,483935,1,0
484063,484063,484227,164,0
484226,484226,484232,6,0
484280,484280,484282,2,0
484378,484379,484380,1,1
484475,484475,484476,1,0
484571,484571,484572,1,0
484641,484641,484642,1,0
484549,484549,484642,93,0
484702,484703,484850,147,1
484885,484886,484894,8,1
485011,485012,485141,129,1
485180,485181,485202,21,1
485576,485577,485728,151,1
485762,485762,485782,20,0
485781,485781,485801,20,0
