submit_time,start_time,end_time,run_time,wait_time
33871,33871,38908,5037,0
33870,33870,38955,5085,0
33869,33869,39229,5360,0
41019,41019,46152,5133,0
41019,41019,46263,5244,0
41020,41020,46275,5255,0
121271,121271,129133,7862,0
121282,121282,129282,8000,0
121269,121269,129348,8079,0
121275,121275,129381,8106,0
121289,121289,129399,8110,0
121268,121268,129560,8292,0
121270,121270,129588,8318,0
121272,121272,129731,8459,0
121291,121291,129824,8533,0
121281,121281,129833,8552,0
121278,121278,129845,8567,0
121276,121276,129846,8570,0
121286,121286,130313,9027,0
121267,121268,130350,9082,1
121284,121284,130360,9076,0
121273,121273,130365,9092,0
132505,132507,132557,50,2
132561,132563,132595,32,2
132849,132851,132899,48,2
132903,132905,132948,43,2
121279,121279,132991,11712,0
121293,121293,133036,11743,0
133332,133335,133384,49,3
121270,121270,133429,12159,0
133388,133390,133431,41,2
121287,121287,133528,12241,0
133615,133618,133667,49,3
133671,133673,133723,50,2
133856,133857,134185,328,1
134126,134188,134261,73,62
134266,134269,134317,48,3
134390,134392,134443,51,2
134447,134449,134498,49,2
134598,134599,134648,49,1
134652,134653,134685,32,1
134759,134761,134809,48,2
134813,134815,134882,67,2
134968,134970,135018,48,2
135022,135024,135092,68,2
135155,135156,135205,49,1
135209,135210,135263,53,1
135420,135423,135472,49,3
135476,135478,135530,52,2
129734,129735,135967,6232,1
129284,129284,138142,8858,0
129135,129135,138293,9158,0
129563,129563,139040,9477,0
129354,129354,139075,9721,0
129590,129592,139156,9564,2
139493,139494,139543,49,1
139546,139548,139583,35,2
129383,129383,139619,10236,0
129402,129402,139631,10229,0
139690,139692,139745,53,2
139749,139751,139801,50,2
140339,140342,140390,48,3
140393,140396,140427,31,3
140571,140574,140622,48,3
140626,140629,140696,67,3
140754,140756,140777,21,2
140807,140808,140860,52,1
140865,140866,140916,50,1
140991,140993,141040,47,2
141045,141047,141079,32,2
141154,141156,141203,47,2
141207,141208,141456,248,1
141536,141537,141582,45,1
141630,141631,141679,48,1
141682,141683,141718,35,1
141794,141795,141843,48,1
141847,141848,141858,10,1
141916,141917,141966,49,1
141970,141971,141981,10,1
142792,142795,142842,47,3
142846,142849,142858,9,3
143694,143696,143743,47,2
143746,143748,143760,12,2
144107,144109,144157,48,2
144161,144163,144175,12,2
144325,144327,144375,48,2
144378,144381,144396,15,3
147282,147284,147551,267,2
147862,147864,147955,91,2
192527,192530,193067,537,3
193071,193072,194235,1163,1
196282,196284,196837,553,2
196858,196859,198001,1142,1
198938,198940,198970,30,2
199064,199066,199627,561,2
199670,199672,199701,29,2
199744,199746,199774,28,2
199806,199808,199889,81,2
199932,199933,199938,5,1
199953,199954,200075,121,1
200010,200077,200715,638,67
200721,200723,201388,665,2
201403,201406,201527,121,3
201530,201532,201534,2,2
202156,202158,202284,126,2
202290,202293,202312,19,3
202574,202577,202684,107,3
202694,202696,203663,967,2
203667,203668,203953,285,1
204622,204624,205314,690,2
205319,205321,206028,707,2
209360,209361,209935,574,1
209940,209942,210701,759,2
214008,214008,214021,13,0
214008,214008,214021,13,0
214008,214008,214021,13,0
214008,214008,214020,12,0
214008,214008,214020,12,0
214008,214008,214021,13,0
214008,214008,214021,13,0
214008,214008,214021,13,0
214008,214008,214021,13,0
214008,214008,214021,13,0
214008,214008,214022,14,0
214008,214008,214023,15,0
214008,214008,214023,15,0
214008,214008,214023,15,0
214008,214008,214022,14,0
214008,214008,214023,15,0
214008,214008,214023,15,0
214008,214008,214023,15,0
214008,214008,214022,14,0
214008,214008,214023,15,0
214008,214008,214023,15,0
214008,214008,214023,15,0
214008,214008,214024,16,0
214008,214008,214023,15,0
214008,214008,214024,16,0
214008,214008,214024,16,0
214008,214008,214024,16,0
214008,214008,214024,16,0
214008,214008,214024,16,0
214008,214008,214024,16,0
214008,214008,214023,15,0
214008,214008,214023,15,0
214008,214008,214024,16,0
214008,214008,214024,16,0
214008,214008,214024,16,0
214008,214008,214023,15,0
214008,214008,214024,16,0
214008,214008,214024,16,0
214008,214008,214025,17,0
214008,214008,214024,16,0
214008,214008,214024,16,0
214008,214008,214025,17,0
214008,214008,214025,17,0
214008,214008,214026,18,0
214008,214021,214032,11,13
214008,214021,214033,12,13
214008,214021,214033,12,13
214008,214021,214033,12,13
214008,214021,214033,12,13
214008,214021,214033,12,13
214008,214021,214034,13,13
214008,214022,214034,12,14
214008,214022,214034,12,14
214008,214021,214034,13,13
214008,214021,214033,12,13
214008,214023,214036,13,15
214008,214023,214035,12,15
214008,214023,214036,13,15
214008,214023,214036,13,15
214008,214023,214036,13,15
214008,214023,214037,14,15
214008,214023,214037,14,15
214008,214023,214037,14,15
214008,214024,214038,14,16
214008,214023,214038,15,15
214008,214024,214038,14,16
214008,214023,214038,15,15
214008,214024,214038,14,16
214008,214024,214038,14,16
214008,214023,214038,15,15
214008,214024,214038,14,16
214008,214024,214039,15,16
214008,214024,214039,15,16
214008,214024,214038,14,16
214008,214024,214039,15,16
214008,214024,214039,15,16
214008,214024,214039,15,16
214008,214025,214040,15,17
214008,214025,214040,15,17
214008,214025,214040,15,17
214008,214025,214041,16,17
214008,214024,214041,17,16
214008,214026,214041,15,18
214008,214024,214042,18,16
214008,214024,214042,18,16
214008,214024,214042,18,16
214008,214024,214042,18,16
214008,214026,214042,16,18
214008,214032,214044,12,24
