submit_time,start_time,end_time,run_time,wait_time
114631,114632,114733,101,1
114836,114836,114949,113,0
114878,114879,115265,386,1
121065,121066,121067,1,1
121178,121178,121179,1,0
121186,121186,121187,1,0
121194,121194,121195,1,0
121323,121323,121324,1,0
121331,121331,121332,1,0
121339,121339,121340,1,0
121612,121613,121615,2,1
122182,122182,122270,88,0
122446,122446,122520,74,0
122716,122716,122798,82,0
123074,123074,123095,21,0
123155,123155,123174,19,0
123224,123225,123243,18,1
123488,123488,123513,25,0
123579,123579,123622,43,0
123709,123709,123734,25,0
123796,123796,123824,28,0
123899,123899,123929,30,0
123966,123966,123979,13,0
124005,124005,124018,13,0
124044,124045,124058,13,1
124222,124222,124250,28,0
124329,124329,124356,27,0
124439,124439,124467,28,0
124509,124509,124522,13,0
124561,124561,124575,14,0
124610,124610,124624,14,0
124825,124826,124923,97,1
125113,125114,125184,70,1
125372,125373,125439,66,1
125596,125596,125650,54,0
125803,125803,125862,59,0
126001,126002,126056,54,1
126178,126178,126222,44,0
126338,126338,126379,41,0
126500,126500,126542,42,0
126577,126577,126590,13,0
126623,126623,126638,15,0
126670,126670,126684,14,0
126709,126709,126710,1,0
126717,126717,126718,1,0
126766,126766,126780,14,0
126820,126820,126841,21,0
126872,126872,126889,17,0
126944,126944,126956,12,0
126992,126993,127005,12,1
127034,127034,127047,13,0
127136,127136,127143,7,0
127165,127165,127173,8,0
127193,127193,127199,6,0
127251,127251,127259,8,0
127281,127281,127288,7,0
127312,127313,127320,7,1
127464,127465,127488,23,1
127543,127544,127567,23,1
127620,127620,127643,23,0
127721,127722,127734,12,1
127755,127756,127768,12,1
127791,127791,127807,16,0
127873,127874,127889,15,1
127930,127930,127949,19,0
127988,127988,128004,16,0
128145,128145,128179,34,0
128270,128270,128304,34,0
128400,128400,128434,34,0
128577,128577,128609,32,0
128691,128691,128721,30,0
128799,128800,128831,31,1
129130,129131,129170,39,1
129276,129277,129317,40,1
129420,129420,129459,39,0
129539,129539,129564,25,0
129630,129630,129655,25,0
129720,129720,129757,37,0
129805,129806,129821,15,1
129863,129863,129879,16,0
129921,129922,129937,15,1
130031,130031,130048,17,0
130080,130081,130094,13,1
130126,130126,130140,14,0
130367,130368,130449,81,1
130659,130659,130736,77,0
130948,130948,131026,78,0
132007,132008,132099,91,1
132305,132306,132385,79,1
132592,132593,132671,78,1
132786,132786,132821,35,0
132910,132911,132945,34,1
133039,133039,133074,35,0
133259,133259,133295,36,0
133460,133461,133496,35,1
133680,133680,133715,35,0
133807,133807,133824,17,0
133893,133894,133910,16,1
133986,133986,134004,18,0
134097,134097,134115,18,0
134183,134184,134202,18,1
134280,134280,134302,22,0
134392,134392,134411,19,0
134489,134489,134508,19,0
134589,134589,134608,19,0
135081,135082,135084,2,1
135091,135092,135094,2,1
135101,135102,135104,2,1
135182,135182,135185,3,0
135193,135193,135196,3,0
135204,135204,135207,3,0
135360,135361,135367,6,1
135385,135386,135392,6,1
135408,135409,135416,7,1
135469,135469,135477,8,0
135488,135489,135497,8,1
135509,135510,135517,7,1
135570,135570,135577,7,0
135589,135589,135596,7,0
135608,135608,135616,8,0
135646,135646,135653,7,0
135665,135665,135672,7,0
135683,135684,135691,7,1
135883,135884,135901,17,1
135977,135977,135994,17,0
136062,136063,136079,16,1
136273,136273,136309,36,0
136455,136455,136482,27,0
136582,136583,136600,17,1
136705,136705,136723,18,0
136792,136792,136810,18,0
136882,136883,136900,17,1
137008,137008,137010,2,0
137116,137116,137118,2,0
137125,137126,137128,2,1
137135,137135,137137,2,0
142361,142363,142382,19,2
142403,142405,142522,117,2
142567,142568,142575,7,1
142595,142596,142718,122,1
143086,143088,143334,246,2
143443,143445,143450,5,2
143561,143563,143567,4,2
143643,143645,143650,5,2
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146872,4,0
146868,146868,146872,4,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146872,4,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146874,6,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146873,5,0
146868,146868,146874,6,0
146868,146868,146874,6,0
146868,146872,146874,2,4
146868,146872,146874,2,4
146868,146868,146873,5,0
146868,146868,146874,6,0
146868,146868,146874,6,0
146868,146868,146874,6,0
146868,146868,146874,6,0
146868,146868,146874,6,0
146868,146868,146874,6,0
146868,146868,146874,6,0
146868,146868,146874,6,0
146868,146868,146874,6,0
146868,146868,146874,6,0
146868,146872,146874,2,4
146868,146872,146874,2,4
146868,146872,146875,3,4
146868,146873,146875,2,5
146868,146872,146874,2,4
146868,146872,146875,3,4
146868,146872,146875,3,4
146868,146872,146875,3,4
146868,146872,146875,3,4
146868,146872,146875,3,4
146868,146872,146875,3,4
146868,146872,146875,3,4
146868,146872,146875,3,4
146868,146872,146875,3,4
146868,146872,146875,3,4
146868,146872,146875,3,4
146868,146872,146875,3,4
146868,146872,146875,3,4
146868,146873,146875,2,5
146868,146873,146875,2,5
146868,146872,146875,3,4
146868,146873,146875,2,5
146868,146873,146875,2,5
146868,146873,146875,2,5
146868,146873,146875,2,5
146868,146873,146876,3,5
146868,146873,146875,2,5
146868,146873,146875,2,5
146868,146873,146875,2,5
146868,146873,146875,2,5
146868,146873,146875,2,5
146868,146873,146875,2,5
146868,146873,146875,2,5
146868,146872,146875,3,4
146868,146873,146875,2,5
146868,146873,146875,2,5
146868,146873,146875,2,5
146868,146873,146876,3,5
146868,146873,146876,3,5
146868,146873,146876,3,5
146868,146873,146875,2,5
146868,146873,146875,2,5
146868,146873,146876,3,5
146868,146873,146876,3,5
146868,146874,146876,2,6
