submit_time,start_time,end_time,run_time,wait_time
125318,125319,125454,135,1
125346,125455,125458,3,109
125069,125069,125460,391,0
125441,125459,125460,1,18
125465,125466,125554,88,1
125468,125469,125565,96,1
125057,125057,125848,791,0
125057,125057,125849,792,0
125906,125907,126898,991,1
126902,126903,127908,1005,1
127916,127916,128223,307,0
128874,128874,129876,1002,0
128885,128885,129882,997,0
129879,129879,130903,1024,0
129890,129891,130903,1012,1
130913,130913,131891,978,0
131897,131897,131904,7,0
130911,130911,131905,994,0
131914,131915,131954,39,1
137028,137028,137029,1,0
137029,137029,137030,1,0
137029,137029,137030,1,0
137489,137490,137530,40,1
137500,137500,137545,45,0
137509,137509,137562,53,0
137529,137563,137564,1,34
141955,141956,141957,1,1
141958,141958,141961,3,0
142027,142027,142029,2,0
142027,142027,142029,2,0
142113,142114,142116,2,1
142113,142114,142116,2,1
142162,142163,142164,1,1
142162,142163,142165,2,1
142211,142211,142213,2,0
142232,142232,142234,2,0
142241,142242,142243,1,1
142299,142299,142301,2,0
142300,142300,142302,2,0
142358,142358,142360,2,0
142359,142359,142361,2,0
142399,142400,142401,1,1
142399,142400,142401,1,1
144955,144957,145181,224,2
145179,145184,145185,1,5
145428,145428,145661,233,0
145428,145428,145662,234,0
145659,145667,145668,1,8
146753,146754,146800,46,1
147996,147997,148062,65,1
152175,152176,152863,687,1
152175,152176,152890,714,1
152889,152898,152899,1,9
204795,204795,204813,18,0
205103,205104,205140,36,1
205130,205130,205173,43,0
205172,205175,205176,1,3
206152,206152,206155,3,0
206152,206152,206189,37,0
206577,206577,206616,39,0
206577,206577,206617,40,0
207601,207601,207604,3,0
207601,207601,207638,37,0
207651,207652,207965,313,1
208480,208480,208481,1,0
208812,208812,208850,38,0
208889,208889,208924,35,0
209099,209099,209163,64,0
209162,209167,209168,1,5
209799,209799,209836,37,0
209802,209803,209839,36,1
209835,209841,209842,1,6
210732,210732,210860,128,0
211434,211434,211447,13,0
211631,211632,211673,41,1
211639,211639,211683,44,0
211478,211478,211772,294,0
