submit_time,start_time,end_time,run_time,wait_time
49,50,341,291,1
766,767,837,70,1
841,843,1114,271,2
5572,5573,5641,68,1
5644,5646,5950,304,2
6032,6033,6102,69,1
6105,6107,6201,94,2
6927,6928,7025,97,1
7157,7159,7256,97,2
39026,39026,41160,2134,0
39034,39035,41233,2198,1
39028,39028,41273,2245,0
39025,39025,41359,2334,0
39033,39033,41402,2369,0
39030,39030,41425,2395,0
39027,39027,41427,2400,0
39040,39040,41456,2416,0
39031,39031,41477,2446,0
39036,39036,41498,2462,0
39038,39038,41522,2484,0
39043,39043,41545,2502,0
39024,39024,41570,2546,0
57349,57350,57364,14,1
57722,57722,57877,155,0
58158,58159,58229,70,1
58354,58356,58423,67,2
58426,58428,58522,94,2
68838,68839,68906,67,1
68909,68911,69005,94,2
71311,71313,71384,71,2
71388,71390,71483,93,2
72127,72130,72199,69,3
72203,72204,72300,96,1
72439,72441,72509,68,2
72512,72514,72609,95,2
73544,73545,73598,53,1
73603,73604,73682,78,1
73811,73812,73863,51,1
73866,73868,73940,72,2
94203,94204,94206,2,1
94304,94306,94432,126,2
94524,94526,94637,111,2
94644,94646,94801,155,2
94805,94806,94921,115,1
94926,94927,95148,221,1
95413,95415,95418,3,2
95431,95433,95525,92,2
95630,95633,95636,3,3
95651,95653,95752,99,2
95865,95866,95956,90,1
96055,96057,96144,87,2
96163,96165,96287,122,2
96290,96291,96416,125,1
98988,98989,99083,94,1
99361,99363,99445,82,2
99549,99551,99636,85,2
99784,99785,99862,77,1
100324,100326,100418,92,2
120844,120844,120904,60,0
121203,121204,121355,151,1
121358,121360,121461,101,2
121079,121079,121501,422,0
121567,121568,121619,51,1
121630,121631,121718,87,1
121791,121792,121851,59,1
121855,121858,122075,217,3
121824,121824,122117,293,0
122119,122121,122198,77,2
122235,122236,122446,210,1
122463,122465,122518,53,2
122521,122523,122643,120,2
122676,122677,122729,52,1
122732,122734,122830,96,2
122904,122906,123046,140,2
123001,123048,123099,51,47
123103,123104,123178,74,1
123730,123732,123783,51,2
123787,123789,123894,105,2
123921,123922,123973,51,1
123976,123979,124078,99,3
124244,124246,124398,152,2
124401,124403,124504,101,2
125218,125221,125271,50,3
125275,125276,125348,72,1
126535,126537,126596,59,2
126600,126602,126819,217,2
128464,128464,128747,283,0
132427,132429,132488,59,2
132494,132496,132716,220,2
132741,132743,132796,53,2
132801,132802,132944,142,1
133030,133032,133083,51,2
133087,133088,133160,72,1
133558,133559,133609,50,1
133613,133615,133693,78,2
138814,138815,138874,59,1
138878,138880,139095,215,2
139586,139589,139645,56,3
139648,139650,139763,113,2
139935,139937,139994,57,2
140001,140003,140188,185,2
140260,140261,140268,7,1
140286,140288,140441,153,2
140445,140448,140550,102,3
140598,140600,140658,58,2
140662,140664,140852,188,2
140717,140853,140905,52,136
140910,140911,140983,72,1
141013,141015,141074,59,2
141077,141079,141300,221,2
144944,144946,145037,91,2
145043,145044,145116,72,1
145527,145529,145589,60,2
145593,145594,145731,137,1
147545,147547,147602,55,2
147606,147608,147720,112,2
147918,147920,147974,54,2
147979,147981,148053,72,2
148422,148424,148484,60,2
148490,148493,148593,100,3
148826,148827,148884,57,1
148876,148876,148920,44,0
148888,148890,149064,174,2
149218,149219,149257,38,1
149344,149344,149480,136,0
150153,150153,150404,251,0
152638,152638,152677,39,0
152727,152728,153012,284,1
154804,154804,155051,247,0
264852,264852,265209,357,0
264852,264852,265209,357,0
264850,264850,265209,359,0
264853,264853,265209,356,0
