submit_time,start_time,end_time,run_time,wait_time
15496,15734,30304,14570,238
32149,32149,32290,141,0
32170,32171,32324,153,1
32597,32598,32773,175,1
32643,32644,32879,235,1
33065,33066,33259,193,1
33177,33178,33450,272,1
33527,33528,33712,184,1
33737,33737,33954,217,0
35859,35860,36061,201,1
35876,35877,36081,204,1
36371,36371,36623,252,0
36385,36386,36633,247,1
36939,36940,37125,185,1
36946,36947,37135,188,1
37438,37439,37662,223,1
37452,37453,37682,229,1
46860,46861,46981,120,1
47242,47243,47370,127,1
47622,47623,47754,131,1
48021,48022,48151,129,1
30314,30316,50599,20283,2
57958,57959,58026,67,1
58291,58291,58359,68,0
58627,58627,58701,74,0
58969,58969,59060,91,0
50380,50601,70896,20295,221
85795,85795,85863,68,0
70731,70898,86164,15266,167
86106,86106,86174,68,0
86434,86435,86554,119,1
86830,86831,86951,120,1
86174,86175,106471,20296,1
112777,112778,113100,322,1
112786,112786,113109,323,0
114639,114639,114644,5,0
114639,114639,114644,5,0
114640,114640,114645,5,0
114641,114641,114645,4,0
114638,114638,114645,7,0
114639,114639,114646,7,0
114641,114641,114646,5,0
114638,114638,114646,8,0
114640,114640,114648,8,0
114639,114639,114649,10,0
114642,114642,114649,7,0
114642,114642,114650,8,0
114641,114642,114650,8,1
114643,114643,114650,7,0
114644,114644,114651,7,0
114646,114646,114651,5,0
114645,114645,114651,6,0
114643,114643,114652,9,0
114645,114645,114652,7,0
114643,114643,114652,9,0
114646,114646,114652,6,0
114643,114643,114652,9,0
114642,114642,114653,11,0
114646,114646,114653,7,0
114645,114645,114652,7,0
114640,114640,114653,13,0
114646,114647,114653,6,1
114644,114644,114654,10,0
114641,114641,114654,13,0
114647,114648,114654,6,1
114645,114645,114654,9,0
114647,114647,114654,7,0
114648,114648,114655,7,0
114649,114649,114655,6,0
114646,114646,114656,10,0
114648,114648,114657,9,0
114642,114642,114656,14,0
114649,114649,114656,7,0
114644,114644,114657,13,0
114644,114645,114656,11,1
114648,114648,114657,9,0
114648,114649,114658,9,1
114647,114647,114660,13,0
114647,114647,114660,13,0
114647,114647,114660,13,0
114649,114649,114662,13,0
114648,114648,114665,17,0
114717,114717,114776,59,0
114719,114719,114785,66,0
114724,114724,114791,67,0
114722,114722,114792,70,0
114719,114719,114800,81,0
114723,114723,114802,79,0
114725,114725,114805,80,0
114721,114721,114805,84,0
114726,114726,114806,80,0
114726,114726,114808,82,0
114718,114718,114810,92,0
114718,114718,114810,92,0
114717,114717,114816,99,0
114726,114726,114817,91,0
114716,114716,114818,102,0
114717,114717,114819,102,0
114724,114724,114826,102,0
114723,114723,114828,105,0
114724,114724,114829,105,0
114727,114727,114832,105,0
114722,114722,114832,110,0
114726,114726,114833,107,0
114716,114716,114836,120,0
114724,114724,114838,114,0
114720,114720,114839,119,0
114721,114721,114853,132,0
114716,114716,114853,137,0
114723,114723,114860,137,0
114722,114722,114863,141,0
114720,114720,114874,154,0
114725,114725,114877,152,0
114719,114719,114880,161,0
114726,114726,114883,157,0
114721,114721,114889,168,0
114719,114720,114891,171,1
114719,114719,114900,181,0
114721,114721,114900,179,0
114720,114720,114931,211,0
114717,114717,114951,234,0
114720,114720,114965,245,0
114725,114725,114973,248,0
114724,114724,114983,259,0
114716,114716,114996,280,0
114722,114722,115000,278,0
114725,114725,115059,334,0
114720,114720,115123,403,0
114725,114725,115157,432,0
114221,114222,115292,1070,1
114206,114207,115293,1086,1
115296,115297,116380,1083,1
115302,115302,116383,1081,0
116389,116390,118121,1731,1
116395,116395,118126,1731,0
118124,118125,119146,1021,1
118129,118129,119151,1022,0
119157,119158,119256,98,1
119163,119163,119259,96,0
121461,121462,122431,969,1
122436,122437,122439,2,1
121462,121463,122443,980,1
122447,122448,122454,6,1
123518,123519,124142,623,1
123544,123544,124191,647,0
106126,106473,126780,20307,347
128142,128142,128144,2,0
128142,128142,128145,3,0
128143,128143,128145,2,0
128144,128144,128146,2,0
128144,128144,128147,3,0
128145,128145,128147,2,0
128146,128146,128148,2,0
128146,128146,128149,3,0
128147,128147,128150,3,0
128148,128148,128150,2,0
128148,128149,128151,2,1
128149,128149,128152,3,0
128150,128150,128153,3,0
128151,128151,128153,2,0
128151,128151,128154,3,0
128152,128152,128155,3,0
128153,128153,128155,2,0
128153,128154,128156,2,1
128154,128154,128157,3,0
128155,128155,128157,2,0
128156,128156,128158,2,0
128156,128156,128159,3,0
128157,128157,128160,3,0
128158,128158,128160,2,0
128158,128158,128161,3,0
128159,128159,128162,3,0
128160,128160,128163,3,0
128161,128161,128163,2,0
128161,128161,128164,3,0
128162,128162,128164,2,0
128163,128163,128165,2,0
128163,128163,128166,3,0
128164,128164,128167,3,0
128165,128165,128167,2,0
128165,128165,128168,3,0
128166,128166,128169,3,0
128167,128168,128170,2,1
128168,128168,128171,3,0
128169,128169,128171,2,0
128170,128170,128172,2,0
128170,128170,128173,3,0
128171,128171,128174,3,0
128172,128172,128174,2,0
128172,128172,128175,3,0
128173,128173,128176,3,0
