SubmitTime,StartTime,EndTime,QueuedTime,RunTime,NodesRequested,walltime,bslowdown
112,3327,3516,3215,189,1,3540,18.0105820106
300,3251,3379,2951,128,4,3540,24.0546875
350,3333,3465,2983,132,1,3540,23.5984848485
11142,12382,25273,1240,12891,5,28800,1.09619114111
11820,12516,26402,696,13886,5,28800,1.05012242546
12385,12536,26923,151,14387,5,28800,1.01049558629
12519,12929,25537,410,12608,5,28800,1.03251903553
12540,14658,28544,2118,13886,5,28800,1.15252772577
12930,14663,26930,1733,12267,5,28800,1.14127333496
14654,15026,26013,372,10987,5,28800,1.03385819605
14665,15032,27686,367,12654,5,28800,1.0290026869
15025,15228,29399,203,14171,5,28800,1.01432502999
15035,15234,29574,199,14340,5,28800,1.01387726639
15231,15294,28883,63,13589,5,28800,1.00463610273
15231,15992,30822,761,14830,5,28800,1.05131490223
15293,24916,39974,9623,15058,5,28800,1.63906229247
15991,25285,39115,9294,13830,5,28800,1.67201735358
24913,25550,39223,637,13673,5,28800,1.04658816646
25281,26025,40154,744,14129,5,28800,1.05265765447
25548,26333,39971,785,13638,5,28800,1.0575597595
26029,26415,40607,386,14192,5,28800,1.02719842165
26336,26936,41113,600,14177,5,28800,1.04232207096
26418,29586,44350,3168,14764,5,28800,1.21457599567
26936,27574,27615,638,41,12,210,16.5609756098
26940,30835,46451,3895,15616,5,28800,1.24942366803
26997,28557,28583,1560,26,22,210,61.0
27477,29412,29450,1935,38,32,210,51.9210526316
27860,27868,28502,8,634,15,600,1.01261829653
29584,31621,44805,2037,13184,5,28800,1.15450546117
30839,31626,44969,787,13343,5,28800,1.05898223788
31126,31134,31245,8,111,3,90,1.07207207207
31156,31165,31167,9,2,3,90,1.1
31173,31180,31292,7,112,3,90,1.0625
31185,31193,31288,8,95,3,90,1.08421052632
31241,31249,31353,8,104,3,90,1.07692307692
31288,31295,31425,7,130,3,90,1.05384615385
31332,31340,31476,8,136,3,90,1.05882352941
31369,31377,31513,8,136,3,90,1.05882352941
31390,31397,31399,7,2,3,90,1.0
31406,31414,31533,8,119,3,90,1.06722689076
31427,31436,31533,9,97,3,90,1.09278350515
31626,32028,45312,402,13284,5,28800,1.03026196929
31626,32510,45423,884,12913,5,28800,1.06845814296
31854,32085,32107,231,22,3,210,11.5
32025,34216,48389,2191,14173,5,28800,1.15458971283
32100,32120,32436,20,316,4,300,1.06329113924
32217,32448,32480,231,32,3,210,8.21875
32515,35312,47383,2797,12071,5,28800,1.23171236849
32901,39860,39897,6959,37,12,210,189.081081081
32961,40215,40243,7254,28,22,210,260.071428571
33021,43674,43708,10653,34,32,210,314.323529412
33081,43924,43951,10843,27,42,210,402.592592593
33142,44982,45011,11840,29,52,210,409.275862069
33202,45436,45464,12234,28,62,210,437.928571429
33262,48402,48434,15140,32,72,210,474.125
33273,33357,34201,84,844,3,1200,1.09952606635
33322,56950,56983,23628,33,82,210,717.0
33383,66314,66338,32931,24,92,210,1373.125
33443,66271,66303,32828,32,102,210,1026.875
33503,66216,66253,32713,37,112,210,885.135135135
33563,66175,66201,32612,26,122,210,1255.30769231
33624,66132,66157,32508,25,132,210,1301.32
33684,66095,66120,32411,25,142,210,1297.44
33744,66052,66084,32308,32,152,210,1010.625
34221,38655,53496,4434,14841,5,28800,1.29876692945
35757,66246,109912,30489,43666,16,72000,1.69823203408
35762,66276,109894,30514,43618,16,90000,1.69957357054
35794,39127,52290,3333,13163,5,28800,1.25320975462
37268,66351,66663,29083,312,16,108000,94.2147435897
39121,39238,53190,117,13952,5,28800,1.0083858945
39234,39985,53827,751,13842,5,28800,1.05425516544
39862,42413,109910,2551,67497,4,72000,1.03779427234
39979,39994,53650,15,13656,5,28800,1.00109841828
39990,40256,53961,266,13705,5,28800,1.01940897483
40164,40621,56081,457,15460,5,28800,1.02956015524
40613,41126,55209,513,14083,5,28800,1.03642689768
41114,44363,59263,3249,14900,5,28800,1.21805369128
44357,45875,60514,1518,14639,5,28800,1.10369560762
44499,66180,109911,21681,43731,16,57600,1.4957810249
44806,46464,59572,1658,13108,5,28800,1.12648764114
44808,66187,66214,21379,27,16,57600,792.814814815
45877,52302,66026,6425,13724,5,28800,1.46815797144
49611,49618,78558,7,28940,4,28920,1.00024187975
50489,50496,55371,7,4875,4,7200,1.00143589744
50548,50556,50563,8,7,4,7200,1.5
50647,50655,55448,8,4793,4,7200,1.00166910077
50725,50732,55330,7,4598,4,7200,1.00152240104
50829,50836,55770,7,4934,4,7200,1.0014187272
53040,53202,65767,162,12565,5,28800,1.01289295663
53164,53508,66726,344,13218,5,28800,1.02602511726
53205,53662,70363,457,16701,5,28800,1.02736363092
53511,53839,67342,328,13503,5,28800,1.02429089832
53665,53975,68602,310,14627,5,28800,1.02119368292
53839,55221,69216,1382,13995,5,28800,1.09874955341
54003,56094,72846,2091,16752,5,28800,1.12482091691
55218,59276,74327,4058,15051,5,28800,1.26961663677
