SubmitTime,StartTime,EndTime,QueuedTime,RunTime,NodesRequested,walltime,bslowdown
447,1621,13974,1174,12353,5,43200,1.09503764268
1288,1297,11630,9,10333,5,43200,1.00087099584
1450,1457,13474,7,12017,10,28800,1.00058250811
1616,1637,13383,21,11746,5,43200,1.00178784267
1627,2453,10931,826,8478,5,43200,1.09742863883
2447,2659,11099,212,8440,5,43200,1.02511848341
2653,2736,16556,83,13820,5,43200,1.00600578871
2735,3984,12388,1249,8404,5,43200,1.1486197049
3965,3974,12116,9,8142,5,43200,1.00110537951
3976,5333,17129,1357,11796,5,43200,1.11503899627
4279,4286,7509,7,3223,8,10800,1.00217188954
5011,5021,14893,10,9872,5,43200,1.00101296596
5329,5820,18197,491,12377,5,43200,1.03967035631
5596,5605,14814,9,9209,5,43200,1.00097730481
5812,6525,18321,713,11796,5,43200,1.06044421838
6519,7134,15180,615,8046,5,43200,1.0764354959
7124,9582,19358,2458,9776,5,43200,1.25143207856
8687,8693,8700,6,7,1,3600,1.3
8804,8810,8934,6,124,1,3600,1.04838709677
8856,8864,18717,8,9853,5,43200,1.00081193545
9056,9062,9360,6,298,1,3600,1.02013422819
9573,10942,23731,1369,12789,5,43200,1.1070451169
9580,9589,10213,9,624,1,3600,1.01442307692
10722,10728,10735,6,7,1,3600,1.3
10840,10847,10939,7,92,1,3600,1.07608695652
10935,11111,18837,176,7726,5,43200,1.02278022262
11060,11066,11349,6,283,1,3600,1.02120141343
11110,11641,22272,531,10631,5,43200,1.04994826451
11624,11630,12193,6,563,1,3600,1.01065719361
11632,12127,21587,495,9460,5,43200,1.0523255814
11718,11725,310165,7,298440,6,604800,1.0000234553
12125,12399,25123,274,12724,5,43200,1.02153410877
12370,12376,12384,6,8,1,1800,1.4
12392,13985,27018,1593,13033,5,43200,1.12222818998
12554,12561,12637,7,76,1,1800,1.09210526316
12879,12885,12976,6,91,1,1800,1.06593406593
13386,13395,27328,9,13933,5,43200,1.00064594847
13493,13500,13878,7,378,1,1800,1.01851851852
13981,14825,27278,844,12453,5,43200,1.06777483337
14524,14530,14536,6,6,1,1800,1.2
14711,14718,14756,7,38,1,1800,1.18421052632
14820,14904,23468,84,8564,5,43200,1.0098085007
14902,15192,23181,290,7989,5,43200,1.03629991238
15001,15008,15079,7,71,1,1800,1.0985915493
15190,16567,27674,1377,11107,5,43200,1.12397587107
15729,15735,15981,6,246,1,1800,1.0243902439
16563,17141,29594,578,12453,5,43200,1.04641451859
17136,18208,26889,1072,8681,5,43200,1.12348807741
18016,38702,67511,20686,28809,4,28800,1.71803950154
18016,18022,38696,6,20674,4,28800,1.0002902196
18017,67518,96342,49501,28824,4,28800,2.71735359423
18018,96348,125180,78330,28832,4,28800,3.71677302997
18019,125186,126868,107167,1682,4,28800,64.7140309156
18202,18332,26696,130,8364,5,43200,1.01554280249
18325,18728,26998,403,8270,5,43200,1.04873035067
18725,18848,26798,123,7950,5,43200,1.01547169811
18838,19369,28949,531,9580,5,43200,1.05542797495
19361,21598,32648,2237,11050,5,43200,1.20244343891
20296,20303,20347,7,44,1,1800,1.15909090909
20595,20601,20674,6,73,1,1800,1.08219178082
21313,21320,21559,7,239,1,1800,1.02928870293
21593,22283,34405,690,12122,5,43200,1.05692130012
