SubmitTime,StartTime,EndTime,QueuedTime,RunTime,NodesRequested,walltime,bslowdown
8591,8599,12206,8,3607,1,3600,1.00221790962
12161,12167,12175,6,8,1,1800,1.4
12312,12320,12391,8,71,1,1800,1.11267605634
12316,12326,12434,10,108,1,3600,1.09259259259
12568,12575,12824,7,249,1,3600,1.0281124498
12592,12598,12682,6,84,1,1800,1.07142857143
13065,13071,13634,6,563,1,3600,1.01065719361
13114,13121,13487,7,366,1,1800,1.01912568306
14095,14101,14110,6,9,1,1800,1.5
14125,14132,14137,7,5,1,3600,1.2
14249,14256,14335,7,79,1,3600,1.08860759494
14251,14263,14300,12,37,1,1800,1.32432432432
14470,14476,14709,6,233,1,3600,1.02575107296
14485,14492,14559,7,67,1,1800,1.10447761194
15009,15016,15472,7,456,1,3600,1.01535087719
15139,15145,15388,6,243,1,1800,1.02469135802
20068,20075,20114,7,39,1,1800,1.17948717949
20336,20342,20412,6,70,1,1800,1.08571428571
20989,20996,21234,7,238,1,1800,1.02941176471
27785,27792,30436,7,2644,16,3600,1.00264750378
31012,31019,33795,7,2776,16,7200,1.00252161383
31202,31208,109528,6,78320,24,86400,1.00007660878
34271,34278,34279,7,1,1,7200,1.0
34272,34283,34335,11,52,1,7200,1.21153846154
34272,34290,34291,18,1,1,7200,1.9
34272,34296,34590,24,294,1,7200,1.08163265306
34273,34312,34313,39,1,1,7200,4.0
34273,34307,34319,34,12,1,7200,3.83333333333
34273,34301,34403,28,102,1,7200,1.27450980392
34274,34329,36340,55,2011,1,7200,1.02734957732
34274,34323,35118,49,795,1,7200,1.06163522013
34274,34318,34685,44,367,1,7200,1.11989100817
34275,34346,36867,71,2521,1,7200,1.02816342721
34275,34351,34352,76,1,1,7200,7.7
34275,34340,34341,65,1,1,7200,6.6
34275,34334,41548,59,7214,1,7200,1.00817854172
34276,34363,41608,87,7245,1,7200,1.01200828157
34276,34357,34359,81,2,1,7200,8.3
34277,34409,34410,132,1,1,7200,13.3
34277,34415,34416,138,1,1,7200,13.9
34277,34404,34410,127,6,1,7200,13.3
34278,34428,34429,150,1,1,7200,15.1
34278,34422,34424,144,2,1,7200,14.6
34279,34438,35677,159,1239,1,7200,1.12832929782
34279,34433,41672,154,7239,1,7200,1.02127365658
34279,34444,34445,165,1,1,7200,16.6
34280,34451,41675,171,7224,1,7200,1.02367109635
34280,34468,34469,188,1,1,7200,18.9
34280,34461,34478,181,17,1,7200,11.6470588235
34280,34456,35081,176,625,1,7200,1.2816
34281,34490,34866,209,376,1,7200,1.55585106383
34281,34481,34482,200,1,1,7200,20.1
34282,34606,34608,324,2,1,7200,32.6
34282,34510,35338,228,828,1,7200,1.27536231884
34282,34599,34601,317,2,1,7200,31.9
34283,34628,34629,345,1,1,7200,34.6
34283,34621,34712,338,91,1,7200,4.71428571429
34284,34381,34394,97,13,1,7200,8.46153846154
34284,34375,36394,91,2019,1,7200,1.04507181773
34284,34370,34587,86,217,1,7200,1.39631336406
34285,34397,34398,112,1,1,7200,11.3
34285,34386,34388,101,2,1,7200,10.3
34286,34641,35925,355,1284,1,7200,1.27647975078
34286,34698,34700,412,2,1,7200,41.4
34286,34712,41951,426,7239,1,7200,1.05884790717
34287,34879,34880,592,1,1,7200,59.3
34287,34893,35344,606,451,1,7200,2.34368070953
34287,34724,41942,437,7218,1,7200,1.06054308673
34288,35130,35133,842,3,1,7200,84.5
34288,35093,35177,805,84,1,7200,10.5833333333
34288,35145,35253,857,108,1,7200,8.93518518519
