SubmitTime,StartTime,EndTime,QueuedTime,RunTime,NodesRequested,walltime,bslowdown
121,160,7328,39,7168,5,16200,1.00544084821
153,345,6405,192,6060,5,16200,1.03168316832
174,180,238,6,58,4,900,1.10344827586
337,805,7546,468,6741,5,16200,1.0694259012
798,1054,7110,256,6056,5,16200,1.04227212682
1043,1132,6658,89,5526,5,16200,1.01610568223
1126,1365,8857,239,7492,5,16200,1.03190069407
1361,1627,7616,266,5989,5,16200,1.04441476039
1617,2591,7936,974,5345,5,16200,1.18222637979
1639,1645,17235,6,15590,1,16200,1.00038486209
1712,1718,1767,6,49,1,12600,1.12244897959
1803,1809,9616,6,7807,1,12600,1.00076854105
1961,1967,5895,6,3928,1,9000,1.00152749491
2024,2030,4200,6,2170,1,5400,1.00276497696
2138,2144,3348,6,1204,1,3600,1.0049833887
2199,2206,2855,7,649,2,3600,1.01078582435
2382,2388,2640,6,252,8,1800,1.02380952381
2424,2430,2793,6,363,4,1800,1.01652892562
2527,2804,2991,277,187,16,1800,2.48128342246
2589,3722,9028,1133,5306,5,16200,1.21353185074
3128,3729,3870,601,141,32,1800,5.26241134752
3712,3864,11518,152,7654,5,16200,1.01985889731
3855,4483,11338,628,6855,5,16200,1.09161196207
4479,5744,12399,1265,6655,5,16200,1.19008264463
5737,6416,14169,679,7753,5,16200,1.08757900168
6105,6112,13343,7,7231,5,16200,1.00096805421
6412,6669,12891,257,6222,5,16200,1.04130504661
6668,7077,14733,409,7656,5,16200,1.05342215256
7067,7121,12157,54,5036,5,16200,1.01072279587
7119,7339,13080,220,5741,5,16200,1.03832085003
7334,7557,14396,223,6839,5,16200,1.0326071063
7549,7627,12953,78,5326,5,16200,1.01464513706
7621,7914,12703,293,4789,5,16200,1.06118187513
7908,7948,15349,40,7401,5,16200,1.00540467504
7939,9040,14260,1101,5220,5,16200,1.21091954023
8653,8659,8666,6,7,1,3600,1.3
8773,8779,8904,6,125,1,3600,1.048
8859,8868,15900,9,7032,5,16200,1.00127986348
9028,9034,9341,6,307,1,3600,1.01954397394
9034,9289,15364,255,6075,5,16200,1.04197530864
9279,11349,15901,2070,4552,5,16200,1.45474516696
9564,9575,10209,11,634,1,3600,1.01735015773
10717,10723,10729,6,6,1,3600,1.2
10837,10843,10936,6,93,1,3600,1.06451612903
11060,11066,11354,6,288,1,3600,1.02083333333
11344,11529,17599,185,6070,5,16200,1.03047775947
11529,12168,18116,639,5948,5,16200,1.10743106927
11632,11638,11702,6,64,1,3600,1.09375
12163,12411,21066,248,8655,5,16200,1.02865395725
12246,12252,12259,6,7,1,3600,1.3
12365,12371,12498,6,127,1,3600,1.04724409449
12409,12714,19347,305,6633,5,16200,1.04598221016
12580,12594,12725,14,131,1,3600,1.10687022901
12626,12632,12948,6,316,1,3600,1.01898734177
12706,12902,19076,196,6174,5,16200,1.03174603175
12849,12855,13164,6,309,1,3600,1.01941747573
12901,12964,19569,63,6605,5,16200,1.00953822861
12963,13091,19885,128,6794,5,16200,1.01884015308
13086,13354,20453,268,7099,5,16200,1.03775179603
13182,13189,13839,7,650,1,3600,1.01076923077
13352,14181,22983,829,8802,5,16200,1.0941831402
13388,13395,14035,7,640,1,3600,1.0109375
14170,14271,19042,101,4771,5,16200,1.02116956613
14263,14407,21233,144,6826,5,16200,1.02109581014
14366,14372,14378,6,6,1,3600,1.2
14406,14744,21333,338,6589,5,16200,1.05129761724
14484,14490,14584,6,94,1,3600,1.06382978723
14717,14723,15016,6,293,1,3600,1.0204778157
14734,15360,20176,626,4816,5,16200,1.1299833887
14864,14871,14967,7,96,1,3600,1.07291666667
15089,15095,15389,6,294,1,3600,1.02040816327
15306,15312,15853,6,541,1,3600,1.01109057301
15358,15375,19846,17,4471,5,16200,1.00380228137
15369,15912,21656,543,5744,5,16200,1.09453342618
15663,15669,16195,6,526,1,3600,1.01140684411
15911,15918,21854,7,5936,5,16200,1.00117924528
15911,17610,22333,1699,4723,5,16200,1.35972898581
17608,18127,24736,519,6609,5,16200,1.07852927826
18119,19053,23847,934,4794,5,16200,1.19482686692
19049,19087,28435,38,9348,5,16200,1.00406504065
19081,19358,25937,277,6579,5,16200,1.04210366317
19357,19857,27665,500,7808,5,16200,1.06403688525
19572,19580,24410,8,4830,5,16200,1.0016563147
19849,19896,24731,47,4835,5,16200,1.00972078594
19890,20187,27797,297,7610,5,16200,1.03902759527
19890,19901,19980,11,79,1,1800,1.13924050633
20177,20464,25180,287,4716,5,16200,1.06085665818
20229,20235,20323,6,88,1,1800,1.06818181818
20463,21077,25664,614,4587,5,16200,1.13385655112
20841,20847,21221,6,374,1,1800,1.01604278075
21067,21249,29914,182,8665,5,16200,1.02100403924
21241,21345,27087,104,5742,5,16200,1.01811215604
21344,21667,28562,323,6895,5,16200,1.04684554025
21661,22994,28849,1333,5855,5,16200,1.22766865927
21856,21866,28808,10,6942,5,16200,1.00144050706
22336,22344,27141,8,4797,5,16200,1.00166770898
22368,22374,22412,6,38,1,1800,1.15789473684
22664,22671,22739,7,68,1,1800,1.10294117647
22991,23859,29203,868,5344,5,16200,1.1624251497
23379,23385,23629,6,244,1,1800,1.02459016393
23850,24421,30741,571,6320,5,16200,1.09034810127
23980,23986,25460,6,1474,1,86400,1.00407055631
24412,24743,33007,331,8264,5,16200,1.04005324298
24740,25191,31883,451,6692,5,16200,1.06739390317
24740,24749,29297,9,4548,5,16200,1.00197889182
25190,25675,31438,485,5763,5,16200,1.08415755683
25671,27098,35086,1427,7988,5,16200,1.17864296445
25757,25763,26155,6,392,1,86400,1.01530612245
25937,25948,33272,11,7324,5,16200,1.00150191152
26136,26142,44964,6,18822,1,36000,1.0003187759
26184,26190,27615,6,1425,1,86400,1.00421052632
26324,26330,30207,6,3877,1,36000,1.00154758834
27006,55830,70889,28824,15059,4,28800,2.91407131948
27006,27012,55824,6,28812,4,28800,1.00020824656
27007,70896,99726,43889,28830,4,28800,2.52233784253
27008,113871,129799,86863,15928,4,28800,6.45347815168
27009,129886,158704,102877,28818,4,28800,4.56988687626
27010,177903,206708,150893,28805,4,28800,6.23843082798
27010,206720,235552,179710,28832,4,28800,7.23300499445
27011,235907,264723,208896,28816,4,28800,8.24930594114
27012,329359,358181,302347,28822,4,28800,11.4901464159
27013,358194,387029,331181,28835,4,28800,12.4853823478
27093,27152,35093,59,7941,5,16200,1.00742979474
27144,28447,35728,1303,7281,5,16200,1.17895893421
27666,27676,32460,10,4784,5,16200,1.002090301
27760,27767,27774,7,7,1,18000,1.4
27799,27808,32601,9,4793,5,16200,1.00187773837
28083,28089,82103,6,54014,1,54000,1.00011108231
28444,28573,35751,129,7178,5,16200,1.01797157983
28567,28819,35526,252,6707,5,16200,1.03757268525
28813,28861,34263,48,5402,5,16200,1.00888559793
28854,29214,34055,360,4841,5,16200,1.07436480066
29214,29310,33946,96,4636,5,16200,1.02070750647
29220,29226,115646,6,86420,1,86400,1.00006942837
29306,29925,34358,619,4433,5,16200,1.13963455899
29920,30753,36738,833,5985,5,16200,1.13918128655
30257,30263,47442,6,17179,1,36000,1.00034926364
30310,30316,36216,6,5900,1,86400,1.00101694915
30749,31449,38136,700,6687,5,16200,1.10468072379
31444,32472,39611,1028,7139,5,16200,1.14399775879
31616,31622,44294,6,12672,1,18000,1.00047348485
31885,31894,36972,9,5078,5,16200,1.00177235132
32468,32612,40717,144,8105,5,16200,1.01776681061
32611,33018,40786,407,7768,5,16200,1.05239443872
33011,33283,39375,272,6092,5,16200,1.04464871963
33278,33957,39896,679,5939,5,16200,1.11432901162
33953,34066,38987,113,4921,5,16200,1.02296281244
34066,34274,40693,208,6419,5,16200,1.03240380122
34271,34369,39211,98,4842,5,16200,1.02023957043
34363,35098,39881,735,4783,5,16200,1.15366924524
35089,35104,43286,15,8182,5,16200,1.00183329259
35100,35537,43454,437,7917,5,16200,1.05519767589
35529,35739,40964,210,5225,5,16200,1.04019138756
35734,35762,40502,28,4740,5,16200,1.005907173
35755,36749,42411,994,5662,5,16200,1.17555634052
36260,36266,43232,6,6966,1,86400,1.00086132644
36747,38147,45269,1400,7122,5,16200,1.19657399607
36973,36983,45740,10,8757,5,16200,1.00114194359
38138,38998,45006,860,6008,5,16200,1.1431424767
38997,39224,47209,227,7985,5,16200,1.02842830307
39212,39386,45184,174,5798,5,16200,1.0300103484
39376,39623,48854,247,9231,5,16200,1.02675766439
39612,39892,47154,280,7262,5,16200,1.03855687139
39889,39907,45970,18,6063,5,16200,1.00296882731
39899,40513,47168,614,6655,5,16200,1.09226145755
40503,40704,46713,201,6009,5,16200,1.03344982526
40550,40557,126969,7,86412,1,86400,1.00008100727
40697,40728,46340,31,5612,5,16200,1.00552387741
40718,40797,48433,79,7636,5,16200,1.01034573075
40790,40975,46973,185,5998,5,16200,1.03084361454
40966,42422,47682,1456,5260,5,16200,1.27680608365
42412,43302,48616,890,5314,5,16200,1.16748212269
43015,43032,43182,17,150,1,300,1.11333333333
43015,43026,43124,11,98,2,300,1.11224489796
43015,43021,43080,6,59,4,300,1.10169491525
43016,43038,43136,22,98,2,300,1.22448979592
43290,43296,44931,6,1635,8,6000,1.00366972477
43300,43308,44951,8,1643,8,6000,1.00486914181
43311,43317,44981,6,1664,8,6000,1.00360576923
43322,43328,44987,6,1659,8,6000,1.00361663653
43333,43339,44984,6,1645,8,6000,1.00364741641
43343,43350,44994,7,1644,8,6000,1.00425790754
