SubmitTime,StartTime,EndTime,QueuedTime,RunTime,NodesRequested,walltime,bslowdown
19,28,2701,9,2673,2,18000,1.00336700337
92,101,2855,9,2754,2,18000,1.00326797386
289,299,2935,10,2636,2,18000,1.00379362671
344,353,3055,9,2702,2,18000,1.00333086603
395,406,3175,11,2769,2,18000,1.00397255327
523,534,3347,11,2813,2,18000,1.00391041593
645,654,3441,9,2787,2,18000,1.00322927879
663,671,3424,8,2753,2,18000,1.00290592081
687,695,3514,8,2819,2,18000,1.00283788578
705,713,3282,8,2569,2,18000,1.00311405216
811,819,3605,8,2786,2,18000,1.00287150036
826,832,3686,6,2854,2,18000,1.00210231254
847,855,3630,8,2775,2,18000,1.00288288288
875,885,3677,10,2792,2,18000,1.00358166189
905,913,3767,8,2854,2,18000,1.00280308339
956,967,3784,11,2817,2,18000,1.00390486333
1032,1041,3851,9,2810,2,18000,1.00320284698
1034,1046,3848,12,2802,2,18000,1.00428265525
1079,1090,3905,11,2815,2,18000,1.00390763766
1110,1117,3866,7,2749,2,18000,1.0025463805
1125,1131,3933,6,2802,2,18000,1.00214132762
1255,1265,4008,10,2743,2,18000,1.00364564346
1285,1296,4015,11,2719,2,18000,1.004045605
1306,1315,4020,9,2705,2,18000,1.0033271719
1402,1412,4134,10,2722,2,18000,1.00367376929
1416,1423,4194,7,2771,2,18000,1.00252616384
1529,1539,4211,10,2672,2,18000,1.00374251497
1787,1796,4556,9,2760,2,18000,1.00326086957
1848,1858,4659,10,2801,2,18000,1.00357015352
1940,1954,4817,14,2863,2,18000,1.00488997555
1958,1968,4766,10,2798,2,18000,1.00357398142
2037,2046,4860,9,2814,2,18000,1.00319829424
2207,2215,4992,8,2777,2,18000,1.00288080663
2326,2338,5153,12,2815,2,18000,1.00426287744
2399,2409,5151,10,2742,2,18000,1.00364697301
2518,2528,5276,10,2748,2,18000,1.00363901019
2532,2539,5372,7,2833,2,18000,1.00247087893
2551,2559,5345,8,2786,2,18000,1.00287150036
2700,2709,5481,9,2772,2,18000,1.00324675325
2701,2715,5389,14,2674,2,18000,1.00523560209
2765,2774,5534,9,2760,2,18000,1.00326086957
2857,2866,5659,9,2793,2,18000,1.00322234157
2937,2946,5814,9,2868,2,18000,1.00313807531
3058,3067,5900,9,2833,2,18000,1.00317684433
3177,3187,6060,10,2873,2,18000,1.00348068221
3283,3293,6129,10,2836,2,18000,1.00352609309
3350,3359,6023,9,2664,2,18000,1.00337837838
3425,3435,6115,10,2680,2,18000,1.00373134328
3443,3453,6232,10,2779,2,18000,1.0035984167
3517,3525,6353,8,2828,2,18000,1.00282885431
3608,3616,6330,8,2714,2,18000,1.0029476787
3632,3641,6249,9,2608,2,18000,1.00345092025
3680,3688,6506,8,2818,2,18000,1.00283889283
3695,3701,6406,6,2705,2,18000,1.0022181146
3768,3778,6594,10,2816,2,18000,1.00355113636
3786,3795,6576,9,2781,2,18000,1.00323624595
3850,3860,6625,10,2765,2,18000,1.00361663653
3865,3871,6638,6,2767,2,18000,1.00216841344
3880,3886,6651,6,2765,2,18000,1.00216998192
3907,3916,6729,9,2813,2,18000,1.00319943121
3934,3944,6599,10,2655,2,18000,1.00376647834
4010,4019,6736,9,2717,2,18000,1.003312477
4026,4032,6865,6,2833,2,18000,1.00211789622
4028,4038,6901,10,2863,2,18000,1.00349283968
4137,4146,6832,9,2686,2,18000,1.00335070737
4195,4205,6993,10,2788,2,18000,1.00358680057
4213,4222,6818,9,2596,2,18000,1.00346687211
4557,4567,7303,10,2736,2,18000,1.00365497076
4660,4670,7351,10,2681,2,18000,1.00372995151
4769,4777,7584,8,2807,2,18000,1.00285001781
4819,4828,7531,9,2703,2,18000,1.00332963374
4861,4871,7515,10,2644,2,18000,1.00378214826
4996,5003,7701,7,2698,2,18000,1.00259451446
5154,5169,7782,15,2613,2,18000,1.00574052813
5155,5163,7953,8,2790,2,18000,1.00286738351
5277,5287,7922,10,2635,2,18000,1.00379506641
5348,5357,8155,9,2798,2,18000,1.00321658327
5375,5383,8179,8,2796,2,18000,1.00286123033
5390,5400,8127,10,2727,2,18000,1.00366703337
5484,5493,8156,9,2663,2,18000,1.00337964701
5536,5545,8332,9,2787,2,18000,1.00322927879
5661,5671,8417,10,2746,2,18000,1.0036416606
5679,5685,5689,6,4,2,300,1.0
5698,5704,5733,6,29,2,300,1.20689655172
5742,5748,5806,6,58,2,300,1.10344827586
5816,5825,8540,9,2715,2,18000,1.00331491713
5904,5912,8713,8,2801,2,18000,1.00285612281
5940,5946,5965,6,19,2,300,1.31578947368
5975,5981,6002,6,21,2,300,1.28571428571
6010,6016,6052,6,36,2,300,1.16666666667
6025,6034,8826,9,2792,2,18000,1.0032234957
6061,6067,6379,6,312,2,300,1.01923076923
6062,6073,8893,11,2820,2,18000,1.00390070922
6113,6126,8932,13,2806,2,18000,1.00463292944
6131,6140,8745,9,2605,2,18000,1.00345489443
6234,6243,9006,9,2763,2,18000,1.00325732899
6252,6260,9055,8,2795,2,18000,1.00286225403
6331,6341,9076,10,2735,2,18000,1.00365630713
6355,6364,9166,9,2802,2,18000,1.00321199143
6410,6418,9155,8,2737,2,18000,1.00292290829
6507,6517,9173,10,2656,2,18000,1.00376506024
6577,6587,9231,10,2644,2,18000,1.00378214826
6595,6605,9433,10,2828,2,18000,1.00353606789
6610,6616,9389,6,2773,2,18000,1.0021637216
6628,6636,9327,8,2691,2,18000,1.00297287254
6643,6649,9383,6,2734,2,18000,1.00219458669
6658,6664,9463,6,2799,2,18000,1.00214362272
6730,6740,9513,10,2773,2,18000,1.00360620267
6745,6752,9544,7,2792,2,18000,1.00250716332
6821,6829,9369,8,2540,2,18000,1.0031496063
6836,6843,9639,7,2796,2,18000,1.00250357654
6866,6876,9663,10,2787,2,18000,1.00358808755
6902,6912,9576,10,2664,2,18000,1.00375375375
6993,7004,9729,11,2725,2,18000,1.00403669725
7304,7314,9912,10,2598,2,18000,1.0038491147
7353,7363,10055,10,2692,2,18000,1.00371471025
7518,7526,10373,8,2847,2,18000,1.00280997541
7533,7542,10316,9,2774,2,18000,1.0032444124
7585,7595,10401,10,2806,2,18000,1.00356379187
7704,7712,10502,8,2790,2,18000,1.00286738351
7786,7794,10643,8,2849,2,18000,1.00280800281
