SubmitTime,StartTime,EndTime,QueuedTime,RunTime,NodesRequested,walltime,bslowdown
79,98,302,19,204,1,3540,1.0931372549
315,486,645,171,159,4,3540,2.07547169811
373,381,508,8,127,1,3540,1.06299212598
698,719,7636,21,6917,2,10800,1.00303599827
762,771,8299,9,7528,2,10800,1.00119553666
1199,1205,7862,6,6657,2,10800,1.00090130689
1616,1626,8594,10,6968,2,10800,1.00143513203
2250,2265,9572,15,7307,2,10800,1.00205282606
2523,2535,9740,12,7205,2,10800,1.00166551006
2765,2779,9703,14,6924,2,10800,1.00202195263
2946,2958,9587,12,6629,2,10800,1.00181022779
3296,3309,10092,13,6783,2,10800,1.0019165561
3779,3785,11537,6,7752,2,10800,1.00077399381
3834,3843,9730,9,5887,2,10800,1.00152879225
4085,4091,10899,6,6808,2,10800,1.0008813161
4661,4737,11273,76,6536,2,10800,1.01162790698
4821,4835,11472,14,6637,2,10800,1.00210938677
5068,5076,11839,8,6763,2,10800,1.00118290699
5084,5090,11755,6,6665,2,10800,1.00090022506
5099,5106,13158,7,8052,2,10800,1.00086934923
5727,5734,12531,7,6797,2,10800,1.00102986612
6143,6150,12750,7,6600,2,10800,1.00106060606
7150,7157,14084,7,6927,2,10800,1.00101053847
7637,7643,14410,6,6767,2,10800,1.00088665583
7763,7771,14124,8,6353,2,10800,1.0012592476
8029,8035,14749,6,6714,2,10800,1.00089365505
8431,8437,16084,6,7647,2,10800,1.00078462142
8639,8646,15416,7,6770,2,10800,1.00103397341
8662,8669,8677,7,8,1,3600,1.5
8794,8800,8912,6,112,1,3600,1.05357142857
9048,9055,9314,7,259,1,3600,1.02702702703
9570,9577,10150,7,573,1,3600,1.01221640489
9590,9597,15950,7,6353,2,10800,1.00110184165
9704,9711,16183,7,6472,2,10800,1.0010815822
9731,9738,17216,7,7478,2,10800,1.00093607917
9747,9753,15485,6,5732,2,10800,1.00104675506
9940,9947,17096,7,7149,2,10800,1.00097915792
10193,10201,17788,8,7587,2,10800,1.00105443522
10701,10707,14314,6,3607,1,3600,1.00166343222
11277,11283,18350,6,7067,2,10800,1.00084901656
11331,11339,17231,8,5892,2,10800,1.00135777325
11540,11546,18368,6,6822,2,10800,1.00087950748
11671,11678,19367,7,7689,2,10800,1.00091039147
11840,11847,18682,7,6835,2,10800,1.00102414045
12236,12243,12251,7,8,1,1800,1.5
12410,12417,12488,7,71,1,1800,1.0985915493
12534,12540,19102,6,6562,2,10800,1.00091435538
12581,12588,12698,7,110,1,3600,1.06363636364
12713,12720,12812,7,92,1,1800,1.07608695652
12751,12758,19993,7,7235,2,10800,1.000967519
12833,12840,13086,7,246,1,3600,1.02845528455
12854,12860,18747,6,5887,2,10800,1.00101919484
13301,13307,13685,6,378,1,1800,1.01587301587
13329,13336,13901,7,565,1,3600,1.01238938053
13382,13388,19931,6,6543,2,10800,1.00091701055
14127,14134,21106,7,6972,2,10800,1.00100401606
14184,14190,20213,6,6023,2,10800,1.0009961813
14336,14344,14350,8,6,1,1800,1.4
14430,14437,14518,7,81,1,3600,1.08641975309
14501,14507,14546,6,39,1,1800,1.15384615385
14571,14578,21278,7,6700,2,10800,1.00104477612
14653,14660,14900,7,240,1,3600,1.02916666667
14741,14748,14826,7,78,1,3600,1.08974358974
14763,14769,14844,6,75,1,1800,1.08
14957,14963,15192,6,229,1,3600,1.02620087336
15156,15162,22345,6,7183,2,10800,1.00083530558
15176,15187,21179,11,5992,2,10800,1.00183578104
15205,15212,15677,7,465,1,3600,1.01505376344
15486,15492,15942,6,450,1,3600,1.01333333333
15487,15504,15753,17,249,1,1800,1.06827309237
15626,15634,22187,8,6553,2,10800,1.00122081489
16085,16091,23132,6,7041,2,10800,1.00085215168
16185,16191,23525,6,7334,2,10800,1.00081810744
16351,16358,23312,7,6954,2,10800,1.0010066149
17217,17225,24299,8,7074,2,10800,1.00113090189
17232,17239,24851,7,7612,2,10800,1.00091960063
17329,17335,24702,6,7367,2,10800,1.00081444279
18062,18070,24374,8,6304,2,10800,1.00126903553
18370,18376,24342,6,5966,2,10800,1.00100569896
18621,18627,25154,6,6527,2,10800,1.00091925846
18751,18757,25900,6,7143,2,10800,1.0008399832
19104,19111,25698,7,6587,2,10800,1.00106269926
19369,19377,25704,8,6327,2,10800,1.00126442232
19853,19860,19931,7,71,1,1800,1.0985915493
19931,19938,26799,7,6861,2,10800,1.00102025944
19962,19968,27180,6,7212,2,10800,1.00083194676
20175,20182,20266,7,84,1,1800,1.08333333333
20215,20221,27069,6,6848,2,10800,1.00087616822
20765,20771,21126,6,355,1,1800,1.01690140845
20907,20913,27509,6,6596,2,10800,1.00090964221
21182,21189,27632,7,6443,2,10800,1.00108645041
21219,21226,28222,7,6996,2,10800,1.00100057176
21343,21349,28485,6,7136,2,10800,1.00084080717
22260,22266,22302,6,36,1,1800,1.16666666667
22348,22354,28089,6,5735,2,10800,1.0010462075
22545,22551,22617,6,66,1,1800,1.09090909091
22559,22565,29408,6,6843,2,10800,1.00087680842
23243,23249,23484,6,235,1,1800,1.02553191489
23315,23322,29515,7,6193,2,10800,1.00113030841
23442,23449,30015,7,6566,2,10800,1.00106609808
23705,23712,30142,7,6430,2,10800,1.00108864697
24345,25492,32460,1147,6968,2,10800,1.16460964409
24376,25498,31430,1122,5932,2,10800,1.18914362778
24704,25503,31818,799,6315,2,10800,1.12652414885
24853,25508,31933,655,6425,2,10800,1.10194552529
25151,25514,32591,363,7077,2,10800,1.05129292073
25595,25601,32602,6,7001,2,10800,1.00085702043
25716,25722,32154,6,6432,2,10800,1.00093283582
25903,25909,32886,6,6977,2,10800,1.00085996847
26802,26809,33562,7,6753,2,10800,1.00103657634
27071,27078,33048,7,5970,2,10800,1.00117252931
27183,27189,33625,6,6436,2,10800,1.00093225606
27411,27417,33625,6,6208,2,10800,1.00096649485
27512,27524,33590,12,6066,2,10800,1.00197823937
27798,27805,33625,7,5820,2,10800,1.00120274914
28175,28181,37874,6,9693,4,21600,1.0006190034
28224,28230,33625,6,5395,2,10800,1.00111214087
28487,28493,33625,6,5132,2,10800,1.00116913484
29157,29163,33629,6,4466,2,10800,1.0013434841
29465,29471,33629,6,4158,2,10800,1.00144300144
29647,29653,33629,6,3976,2,10800,1.00150905433
30145,30151,33629,6,3478,2,10800,1.00172512938
30360,30366,33629,6,3263,2,10800,1.00183879865
30536,30543,390564,7,360021,12,360000,1.00001944331
31563,31569,33630,6,2061,2,10800,1.00291120815
31935,31941,33629,6,1688,2,10800,1.00355450237
32155,32161,33629,6,1468,2,10800,1.00408719346
32282,32288,33629,6,1341,2,10800,1.00447427293
32593,32599,33629,6,1030,2,10800,1.00582524272
32608,32614,33629,6,1015,2,10800,1.00591133005
32889,32895,33629,6,734,2,10800,1.00817438692
33049,33055,33629,6,574,2,10800,1.01045296167
33256,33262,33629,6,367,2,10800,1.01634877384
33258,33269,33629,11,360,2,10800,1.03055555556
33259,33275,33629,16,354,2,10800,1.04519774011
33261,33280,33629,19,349,2,10800,1.05444126074
33262,33286,33629,24,343,2,10800,1.06997084548
33264,33291,33629,27,338,2,10800,1.0798816568
33265,33297,33629,32,332,2,10800,1.09638554217
33267,33303,33630,36,327,2,10800,1.11009174312
33268,33308,33630,40,322,2,10800,1.12422360248
33828,33909,41143,81,7234,2,10800,1.01119712469
33829,33915,40817,86,6902,2,10800,1.01246015648
33831,33920,40349,89,6429,2,10800,1.01384352154
33833,33925,41003,92,7078,2,10800,1.01299802204
33834,33931,41211,97,7280,2,10800,1.01332417582
33836,33936,40514,100,6578,2,10800,1.01520218912
33837,33941,40944,104,7003,2,10800,1.01485077824
33839,33947,41026,108,7079,2,10800,1.01525639215
33840,33952,40635,112,6683,2,10800,1.0167589406
33842,33957,40292,115,6335,2,10800,1.0181531176
33843,33963,40173,120,6210,2,10800,1.0193236715
33845,33968,40778,123,6810,2,10800,1.01806167401
33846,33974,41272,128,7298,2,10800,1.0175390518
33848,33979,40991,131,7012,2,10800,1.01868225898
33849,33984,40381,135,6397,2,10800,1.02110364233
33851,33990,41314,139,7324,2,10800,1.01897870016
33852,33995,40527,143,6532,2,10800,1.0218922229
33854,34000,40884,146,6884,2,10800,1.02120859965
33855,34006,40296,151,6290,2,10800,1.0240063593
33857,34011,40696,154,6685,2,10800,1.02303664921
34094,34101,41223,7,7122,2,10800,1.00098286998
34096,34107,41174,11,7067,2,10800,1.00155653035
34097,34113,41109,16,6996,2,10800,1.00228702115
34099,34118,41354,19,7236,2,10800,1.00262576009
34100,34123,40902,23,6779,2,10800,1.0033928308
34102,34129,40391,27,6262,2,10800,1.00431172149
34103,34135,39846,32,5711,2,10800,1.00560322185
34105,34141,40955,36,6814,2,10800,1.00528324039
34106,34146,40790,40,6644,2,10800,1.0060204696
34108,34151,41323,43,7172,2,10800,1.0059955382
34109,34157,41064,48,6907,2,10800,1.00694947155
34111,34162,40298,51,6136,2,10800,1.00831160365
34112,34168,40343,56,6175,2,10800,1.00906882591
34114,34173,40725,59,6552,2,10800,1.009004884
34116,34178,40862,62,6684,2,10800,1.0092758827
34235,34241,40896,6,6655,2,10800,1.00090157776
34237,34248,41627,11,7379,2,10800,1.0014907169
34238,34253,40735,15,6482,2,10800,1.00231410059
34240,34259,40389,19,6130,2,10800,1.0030995106
34242,34264,40886,22,6622,2,10800,1.00332225914
34243,34270,41009,27,6739,2,10800,1.00400652916
34245,34276,41056,31,6780,2,10800,1.00457227139
34246,34281,41135,35,6854,2,10800,1.00510650715
34248,34287,41413,39,7126,2,10800,1.00547291608
34250,34292,41133,42,6841,2,10800,1.0061394533
